comment_id,translated_comment_text,like_count,search_query,label,concatenated_text,sentiment_label,sentiment_score,named_entities,num_named_entities,cluster
13,"It's okay, the people are poor",0,Imee Marcos,A,"Imee Marcos: It's okay, the people are poor",LABEL_0,0.7267864346504211,"[('Imee Marcos', 'PERSON')]",1,5
14,Straight PDP,0,Imee Marcos,A,Imee Marcos: Straight PDP,LABEL_0,0.7257081270217896,"[('Imee Marcos', 'PERSON'), ('PDP', 'ORG')]",2,5
15,Solid Duterte still kmi,0,Imee Marcos,A,Imee Marcos: Solid Duterte still kmi,LABEL_0,0.6298590898513794,"[('Imee Marcos', 'PERSON'), ('Solid Duterte', 'ORG')]",2,5
16,Duterte Duterte Duterte we are all 💚,0,Imee Marcos,A,Imee Marcos: Duterte Duterte Duterte we are all 💚,LABEL_0,0.7111927270889282,"[('Imee Marcos', 'PERSON')]",1,5
17,C Immee Marcos is also a gaga and purely impotent and used like his brother Cuting animals that don't vote her.😊😅😮,0,Imee Marcos,A,Imee Marcos: C Immee Marcos is also a gaga and purely impotent and used like his brother Cuting animals that don't vote her.😊😅😮,LABEL_0,0.644054651260376,"[('Imee Marcos', 'PERSON'), ('Immee Marcos', 'PERSON'), ('Cuting', 'PERSON')]",3,19
18,"We want the peace of the country to return, we don't want the drugs to return, du30 can do that",0,Imee Marcos,A,"Imee Marcos: We want the peace of the country to return, we don't want the drugs to return, du30 can do that",LABEL_0,0.7527400851249695,"[('Imee Marcos', 'PERSON'), ('du30', 'PRODUCT')]",2,5
19,"The real survey social med nd maintrem media, as long as we are solid du30 vote street pdp we kska know that at the end of the ballpen lmi d2 in mindanao are fed with aid but solid du30 we are.",0,Imee Marcos,A,"Imee Marcos: The real survey social med nd maintrem media, as long as we are solid du30 vote street pdp we kska know that at the end of the ballpen lmi d2 in mindanao are fed with aid but solid du30 we are.",LABEL_0,0.70981764793396,"[('Imee Marcos', 'PERSON'), ('kska', 'GPE'), ('fed', 'ORG')]",3,18
20,"You should vote wisely, not from jail or not scammed by people",0,Imee Marcos,A,"Imee Marcos: You should vote wisely, not from jail or not scammed by people",LABEL_0,0.7486435770988464,"[('Imee Marcos', 'PERSON')]",1,5
21,Hopefully the Pikos Machine will not be able to go crazy again in the election and break our vote ...,0,Imee Marcos,A,Imee Marcos: Hopefully the Pikos Machine will not be able to go crazy again in the election and break our vote ...,LABEL_0,0.7279775142669678,"[('Imee Marcos', 'PERSON'), ('the Pikos Machine', 'ORG')]",2,19
22,😊,0,Imee Marcos,A,Imee Marcos: 😊,LABEL_0,0.6744167804718018,"[('Imee Marcos', 'PERSON')]",1,5
23,YOU ARE RIGHT BROTHER goods,0,Imee Marcos,A,Imee Marcos: YOU ARE RIGHT BROTHER goods,LABEL_0,0.6919421553611755,"[('Imee Marcos', 'PERSON')]",1,19
24,"It may mean that the woman is the leader., BBM N C LIFE'S WIFE 
",0,Imee Marcos,A,"Imee Marcos: It may mean that the woman is the leader., BBM N C LIFE'S WIFE 
",LABEL_0,0.706133246421814,"[('Imee Marcos', 'PERSON'), (""BBM N C LIFE'S"", 'ORG')]",2,5
25,Video? ,0,Imee Marcos,A,Imee Marcos: Video? ,LABEL_0,0.5085123181343079,"[('Imee Marcos', 'PERSON')]",1,5
26,"I like Ariel quirubin
",0,Imee Marcos,A,"Imee Marcos: I like Ariel quirubin
",LABEL_0,0.6262338757514954,"[('Imee Marcos', 'PERSON'), ('Ariel quirubin\n', 'PERSON')]",2,5
27,IMEE USER MARCO???,0,Imee Marcos,A,Imee Marcos: IMEE USER MARCO???,LABEL_0,0.6906624436378479,"[('Imee Marcos', 'PERSON')]",1,5
28,No vote for bangag line up zero vote,0,Imee Marcos,A,Imee Marcos: No vote for bangag line up zero vote,LABEL_0,0.7161654233932495,"[('Imee Marcos', 'PERSON'), ('zero', 'CARDINAL')]",2,5
29,use ,0,Imee Marcos,A,Imee Marcos: use ,LABEL_0,0.5762156844139099,"[('Imee Marcos', 'PERSON')]",1,5
30,"Hey vloggers, why don't you steal anything? The Marcoses used to be loyalists of the Marcos family. There are no other names. People hear that the Derti family won. The Derti is held by China. They are only in cahoots. Look at the West Philippine Sea. ",0,Imee Marcos,A,"Imee Marcos: Hey vloggers, why don't you steal anything? The Marcoses used to be loyalists of the Marcos family. There are no other names. People hear that the Derti family won. The Derti is held by China. They are only in cahoots. Look at the West Philippine Sea. ",LABEL_0,0.683844804763794,"[('Imee Marcos', 'PERSON'), ('Marcoses', 'PERSON'), ('Marcos', 'PERSON'), ('Derti', 'PERSON'), ('Derti', 'PERSON'), ('China', 'GPE')]",6,1
31,You are being bullied and riding the people. ,0,Imee Marcos,A,Imee Marcos: You are being bullied and riding the people. ,LABEL_0,0.7048699259757996,"[('Imee Marcos', 'PERSON')]",1,5
32,"Maid in Malaca back then, which turned out to be Mango for Malaca now. ",0,Imee Marcos,A,"Imee Marcos: Maid in Malaca back then, which turned out to be Mango for Malaca now. ",LABEL_0,0.7127013802528381,"[('Imee Marcos', 'PERSON'), ('Maid', 'PERSON'), ('Malaca', 'PERSON'), ('Mango', 'LOC'), ('Malaca', 'ORG')]",5,5
33,Because stealing is tireless and suddenly rich,0,Imee Marcos,A,Imee Marcos: Because stealing is tireless and suddenly rich,LABEL_0,0.7273344397544861,"[('Imee Marcos', 'PERSON')]",1,19
34,Marcos's soul is sold by lucefer and bangag abalos and tambaloslos and others just because of money.,0,Imee Marcos,A,Imee Marcos: Marcos's soul is sold by lucefer and bangag abalos and tambaloslos and others just because of money.,LABEL_0,0.6968852877616882,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON')]",2,4
35,You are right I don't know why the Marcos are shameless without this judgment.,0,Imee Marcos,A,Imee Marcos: You are right I don't know why the Marcos are shameless without this judgment.,LABEL_0,0.7065620422363281,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON')]",2,5
138,it's not worth it..,0,Imee Marcos,A,Imee Marcos: it's not worth it..,LABEL_0,0.7099540829658508,"[('Imee Marcos', 'PERSON')]",1,5
36,"boyset new philippines. we were not given any aid. only those who received are selected, more are not received.. their aid program is worthless.",0,Imee Marcos,A,"Imee Marcos: boyset new philippines. we were not given any aid. only those who received are selected, more are not received.. their aid program is worthless.",LABEL_0,0.7376387715339661,"[('Imee Marcos', 'PERSON')]",1,0
37,Using the ser,0,Imee Marcos,A,Imee Marcos: Using the ser,LABEL_1,0.5681901574134827,"[('Imee Marcos', 'PERSON')]",1,5
38,Shut up Marcos' Families ...,0,Imee Marcos,A,Imee Marcos: Shut up Marcos' Families ...,LABEL_0,0.6541347503662109,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON')]",2,5
39,Marcos's line up.,0,Imee Marcos,A,Imee Marcos: Marcos's line up.,LABEL_0,0.6375318169593811,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON')]",2,5
40,"Compatriots, please think.. replace the old senators, those rich ones.. fed up... pls. ",0,Imee Marcos,A,"Imee Marcos: Compatriots, please think.. replace the old senators, those rich ones.. fed up... pls. ",LABEL_0,0.6918472647666931,"[('Imee Marcos', 'PERSON'), ('Compatriots', 'GPE')]",2,18
41,Don't vote for the old senator to replace the new Vote Straight DU30's line up or PDP against ...,0,Imee Marcos,A,Imee Marcos: Don't vote for the old senator to replace the new Vote Straight DU30's line up or PDP against ...,LABEL_0,0.7197198271751404,"[('Imee Marcos', 'PERSON'), ('PDP', 'ORG')]",2,5
42,Prove it file to the court that women should follow Quiboloy that is a bump of bumps as if there is a contribution to the Philippines good to FALSEFACATION of the document that is to live in China,0,Imee Marcos,A,Imee Marcos: Prove it file to the court that women should follow Quiboloy that is a bump of bumps as if there is a contribution to the Philippines good to FALSEFACATION of the document that is to live in China,LABEL_0,0.6842106580734253,"[('Imee Marcos', 'PERSON'), ('Philippines', 'GPE'), ('FALSEFACATION', 'PERSON'), ('China', 'GPE')]",4,15
43,They use imee hahahahahaway to vote….,0,Imee Marcos,A,Imee Marcos: They use imee hahahahahaway to vote….,LABEL_0,0.6621549725532532,"[('Imee Marcos', 'PERSON')]",1,5
44,Wah😅 the thief is so fierce,0,Imee Marcos,A,Imee Marcos: Wah😅 the thief is so fierce,LABEL_0,0.5923470258712769,"[('Imee Marcos', 'PERSON'), ('Wah', 'PERSON')]",2,5
45,"This administration really wants the Philippines to fall, it's all about stealing from the public treasury, selling the gold reserve of the Philippines and borrowing billions of dollars, it's clearly sinking the Philippines, where is the money going? ",0,Imee Marcos,A,"Imee Marcos: This administration really wants the Philippines to fall, it's all about stealing from the public treasury, selling the gold reserve of the Philippines and borrowing billions of dollars, it's clearly sinking the Philippines, where is the money going? ",LABEL_0,0.7578290104866028,"[('Imee Marcos', 'PERSON'), ('Philippines', 'GPE'), ('Philippines', 'GPE'), ('billions of dollars', 'MONEY'), ('Philippines', 'GPE')]",5,19
46,The problem before the Duterte seated is that the Pinas are already in debt,0,Imee Marcos,A,Imee Marcos: The problem before the Duterte seated is that the Pinas are already in debt,LABEL_0,0.647426187992096,"[('Imee Marcos', 'PERSON'), ('Duterte', 'GPE'), ('Pinas', 'PERSON')]",3,5
47,Imee users,0,Imee Marcos,A,Imee Marcos: Imee users,LABEL_0,0.620998203754425,"[('Imee Marcos', 'PERSON')]",1,5
48,"Hi madam,❤",0,Imee Marcos,A,"Imee Marcos: Hi madam,❤",LABEL_0,0.6718321442604065,"[('Imee Marcos', 'PERSON')]",1,5
49,Yes,0,Imee Marcos,A,Imee Marcos: Yes,LABEL_0,0.6719456911087036,"[('Imee Marcos', 'PERSON')]",1,5
50,"Wla please  
",0,Imee Marcos,A,"Imee Marcos: Wla please  
",LABEL_0,0.6504215002059937,"[('Imee Marcos', 'PERSON')]",1,5
51,"Correct, maybe 50 million will vote in the Duterte line up",0,Imee Marcos,A,"Imee Marcos: Correct, maybe 50 million will vote in the Duterte line up",LABEL_0,0.7048020362854004,"[('Imee Marcos', 'PERSON'), ('50 million', 'CARDINAL'), ('Duterte', 'GPE')]",3,5
52,Hahaha you can't trust the face of a mango,0,Imee Marcos,A,Imee Marcos: Hahaha you can't trust the face of a mango,LABEL_0,0.5881021618843079,"[('Imee Marcos', 'PERSON'), ('Hahaha', 'PERSON')]",2,19
53,Digong Duterte's line up is our polling polling without corruption sober leader we need the iron hand to make the political trap thief in the people 😭😭😭😭🇵🇭🇵🇭🇵🇭🇵🇭,0,Imee Marcos,A,Imee Marcos: Digong Duterte's line up is our polling polling without corruption sober leader we need the iron hand to make the political trap thief in the people 😭😭😭😭🇵🇭🇵🇭🇵🇭🇵🇭,LABEL_0,0.6504677534103394,"[('Imee Marcos', 'PERSON'), (""Digong Duterte's"", 'ORG')]",2,4
54,"You are correct, sir, the line up of the team is not going to win. ",0,Imee Marcos,A,"Imee Marcos: You are correct, sir, the line up of the team is not going to win. ",LABEL_0,0.7451221942901611,"[('Imee Marcos', 'PERSON')]",1,5
55,For the pocket not in town.,0,Imee Marcos,A,Imee Marcos: For the pocket not in town.,LABEL_0,0.7148354053497314,"[('Imee Marcos', 'PERSON')]",1,5
56,The robbery of the town is vulnerable. ,0,Imee Marcos,A,Imee Marcos: The robbery of the town is vulnerable. ,LABEL_0,0.7281672954559326,"[('Imee Marcos', 'PERSON')]",1,5
57,Solid pdp laban. Duterte will ssve our country. O to marcos and bang ag families.,0,Imee Marcos,A,Imee Marcos: Solid pdp laban. Duterte will ssve our country. O to marcos and bang ag families.,LABEL_0,0.7380960583686829,"[('Imee Marcos', 'PERSON'), ('marcos', 'PERSON'), ('bang ag', 'ORG')]",3,5
58,It has been a nmn c nobuka.Karma s Coming.,0,Imee Marcos,A,Imee Marcos: It has been a nmn c nobuka.Karma s Coming.,LABEL_0,0.6708005666732788,"[('Imee Marcos', 'PERSON')]",1,5
59,The Dutertes kept quiet in Davao they invited and then they will make trouble. They don't want to run. They just want to be mayor.,0,Imee Marcos,A,Imee Marcos: The Dutertes kept quiet in Davao they invited and then they will make trouble. They don't want to run. They just want to be mayor.,LABEL_0,0.7296106815338135,"[('Imee Marcos', 'PERSON'), ('Dutertes', 'ORG')]",2,4
60,Know the people of the town are not to be overpowered for the town,0,Imee Marcos,A,Imee Marcos: Know the people of the town are not to be overpowered for the town,LABEL_0,0.722082793712616,"[('Imee Marcos', 'PERSON')]",1,5
61,Salute Madam Maharlika,0,Imee Marcos,A,Imee Marcos: Salute Madam Maharlika,LABEL_0,0.6130741238594055,"[('Imee Marcos', 'PERSON'), ('Salute', 'PERSON')]",2,5
62,DUTERTE LINEUP WE ARE LHAT,0,Imee Marcos,A,Imee Marcos: DUTERTE LINEUP WE ARE LHAT,LABEL_0,0.658359944820404,"[('Imee Marcos', 'PERSON'), ('DUTERTE LINEUP', 'PERSON')]",2,4
63,That’s right,0,Imee Marcos,A,Imee Marcos: That’s right,LABEL_0,0.55616295337677,"[('Imee Marcos', 'PERSON')]",1,5
64,Let's not vote for the Marcos line up of the senatorials of the Bangag administration. ,1,Imee Marcos,A,Imee Marcos: Let's not vote for the Marcos line up of the senatorials of the Bangag administration. ,LABEL_0,0.7014042139053345,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON'), ('Bangag', 'ORG')]",3,19
65,"What they did was not a new Philippines, but a new robbery.",0,Imee Marcos,A,"Imee Marcos: What they did was not a new Philippines, but a new robbery.",LABEL_0,0.7216483354568481,"[('Imee Marcos', 'PERSON'), ('Philippines', 'GPE')]",2,19
66,❤❤❤🎉😅😊😊🎉,0,Imee Marcos,A,Imee Marcos: ❤❤❤🎉😅😊😊🎉,LABEL_0,0.6744167804718018,"[('Imee Marcos', 'PERSON')]",1,5
67,Although we are also in Cebu Nabudol and Nascam too. So this midterm election solid DDS as usual,1,Imee Marcos,A,Imee Marcos: Although we are also in Cebu Nabudol and Nascam too. So this midterm election solid DDS as usual,LABEL_0,0.7131506204605103,"[('Imee Marcos', 'PERSON'), ('Cebu Nabudol', 'FAC'), ('Nascam', 'ORG'), ('DDS', 'ORG')]",4,5
68,SOLID DUTERTE WE LINE UP,3,Imee Marcos,A,Imee Marcos: SOLID DUTERTE WE LINE UP,LABEL_0,0.6141903400421143,"[('Imee Marcos', 'PERSON')]",1,5
139,I'm a loyalist but I won't vote for imee,1,Imee Marcos,A,Imee Marcos: I'm a loyalist but I won't vote for imee,LABEL_0,0.7121954560279846,"[('Imee Marcos', 'PERSON')]",1,5
69,PDP laban camp   For senators are trully the public servant and hope of the fatherland from Miami,0,Imee Marcos,A,Imee Marcos: PDP laban camp   For senators are trully the public servant and hope of the fatherland from Miami,LABEL_0,0.6713460087776184,"[('Imee Marcos', 'PERSON'), ('PDP', 'ORG'), ('Miami', 'GPE')]",3,4
70,Digong gambled his life to bury Lakay Marcos,0,Imee Marcos,A,Imee Marcos: Digong gambled his life to bury Lakay Marcos,LABEL_0,0.6858879923820496,"[('Imee Marcos', 'PERSON'), ('Digong', 'PERSON'), ('Lakay Marcos', 'PERSON')]",3,5
71,Yes du30 still ako folk,0,Imee Marcos,A,Imee Marcos: Yes du30 still ako folk,LABEL_0,0.6978355050086975,"[('Imee Marcos', 'PERSON')]",1,5
72,Kuya goods dismiss the Chinese in ph..how are the AFHgans that BBM is entering here in Pinas..What is his place here in Pinas? ,0,Imee Marcos,A,Imee Marcos: Kuya goods dismiss the Chinese in ph..how are the AFHgans that BBM is entering here in Pinas..What is his place here in Pinas? ,LABEL_0,0.6599504947662354,"[('Imee Marcos', 'PERSON'), ('Chinese', 'NORP'), ('AFHgans', 'NORP'), ('BBM', 'ORG'), ('Pinas', 'PERSON'), ('Pinas', 'PERSON')]",6,19
73,The election should be gone. ,0,Imee Marcos,A,Imee Marcos: The election should be gone. ,LABEL_0,0.7354868650436401,"[('Imee Marcos', 'PERSON')]",1,5
74,"In this case, all the people in the assistance are corrupt, especially to the poor in the corner of the country with helplessness but to get the assistance due to poverty.",0,Imee Marcos,A,"Imee Marcos: In this case, all the people in the assistance are corrupt, especially to the poor in the corner of the country with helplessness but to get the assistance due to poverty.",LABEL_0,0.7433848977088928,"[('Imee Marcos', 'PERSON')]",1,4
75,"TO ALL FILIPINOS WHO LOVE JUSTICE FREEDOM AND EQUALITY, BE VIGILANT ,LETS WATCH THE COMELEC.",1,Imee Marcos,A,"Imee Marcos: TO ALL FILIPINOS WHO LOVE JUSTICE FREEDOM AND EQUALITY, BE VIGILANT ,LETS WATCH THE COMELEC.",LABEL_0,0.7304003834724426,"[('Imee Marcos', 'PERSON'), ('COMELEC', 'ORG')]",2,15
76,"Don't vote for the slate of Bangag President, but our problem is that the comelec is planning to corrupt in order to win.",0,Imee Marcos,A,"Imee Marcos: Don't vote for the slate of Bangag President, but our problem is that the comelec is planning to corrupt in order to win.",LABEL_0,0.7676500082015991,"[('Imee Marcos', 'PERSON'), ('Bangag', 'ORG')]",2,15
77,There is an opportunity for the people of the country that he wants to put in the role that he thinks will provide a good life. ,0,Imee Marcos,A,Imee Marcos: There is an opportunity for the people of the country that he wants to put in the role that he thinks will provide a good life. ,LABEL_0,0.7820636034011841,"[('Imee Marcos', 'PERSON')]",1,4
78,DO NOT VOTE BBM LINE UP HA. ,1,Imee Marcos,A,Imee Marcos: DO NOT VOTE BBM LINE UP HA. ,LABEL_0,0.6865572333335876,"[('Imee Marcos', 'PERSON')]",1,5
79,"I'm already one now, don't all the Marcos lineups get angry again, we don't have anything left to throw, the wealth of the Philippines will be exhausted, we're poor, the poor will believe",0,Imee Marcos,A,"Imee Marcos: I'm already one now, don't all the Marcos lineups get angry again, we don't have anything left to throw, the wealth of the Philippines will be exhausted, we're poor, the poor will believe",LABEL_0,0.7595648765563965,"[('Imee Marcos', 'PERSON'), ('Marcos', 'PERSON'), ('Philippines', 'GPE')]",3,19
80,"It is said that the NAIA GINTO of the Philippines has been sold, what else will they sell?",4,Imee Marcos,A,"Imee Marcos: It is said that the NAIA GINTO of the Philippines has been sold, what else will they sell?",LABEL_0,0.6705383658409119,"[('Imee Marcos', 'PERSON'), ('Philippines', 'GPE')]",2,19
81,"That's right, ma'am correct 💯 it's good that the prrd is induced because they are the ones who care about the country. That's why we're newbies, I'd be stupid to clean up the former politicians",0,Imee Marcos,A,"Imee Marcos: That's right, ma'am correct 💯 it's good that the prrd is induced because they are the ones who care about the country. That's why we're newbies, I'd be stupid to clean up the former politicians",LABEL_0,0.6942781805992126,"[('Imee Marcos', 'PERSON')]",1,5
82,"The candidates who ran again are disgusting, they have no contribution to the town. lets vote for the deserving one😊",1,Imee Marcos,A,"Imee Marcos: The candidates who ran again are disgusting, they have no contribution to the town. lets vote for the deserving one😊",LABEL_0,0.7197752594947815,"[('Imee Marcos', 'PERSON'), ('one', 'CARDINAL')]",2,15
83,Replace the traps that should be new to those who are brave and loyal to the people of the people who do not know that they know that they are,0,Imee Marcos,A,Imee Marcos: Replace the traps that should be new to those who are brave and loyal to the people of the people who do not know that they know that they are,LABEL_0,0.7250210046768188,"[('Imee Marcos', 'PERSON')]",1,5
84,Pashout brother goods from,0,Imee Marcos,A,Imee Marcos: Pashout brother goods from,LABEL_0,0.5495854616165161,"[('Imee Marcos', 'PERSON')]",1,19
85,Duterte still my concern for the town,0,Imee Marcos,A,Imee Marcos: Duterte still my concern for the town,LABEL_0,0.6638143062591553,"[('Imee Marcos', 'PERSON')]",1,5
86,"C Imee the mango, I also fell",0,Imee Marcos,A,"Imee Marcos: C Imee the mango, I also fell",LABEL_0,0.6270103454589844,"[('Imee Marcos', 'PERSON'), ('C Imee', 'PERSON')]",2,5
87,Super wealthy Marcus in theft Lipolin withdraw the stolen curl,0,Imee Marcos,A,Imee Marcos: Super wealthy Marcus in theft Lipolin withdraw the stolen curl,LABEL_0,0.5991496443748474,"[('Imee Marcos', 'PERSON'), ('Marcus', 'PERSON'), ('Lipolin', 'GPE')]",3,15
88,C mango ripe closely to the wound so throw it in the inodoro,0,Imee Marcos,A,Imee Marcos: C mango ripe closely to the wound so throw it in the inodoro,LABEL_0,0.6221387386322021,"[('Imee Marcos', 'PERSON')]",1,9
89,"It is very serious now that Pastor Quiboloy and his colleagues have not been accused of being imprisoned, while the convicted of Frans Castro and Satur Ocampo Laya are still in Liberty.",0,Imee Marcos,A,"Imee Marcos: It is very serious now that Pastor Quiboloy and his colleagues have not been accused of being imprisoned, while the convicted of Frans Castro and Satur Ocampo Laya are still in Liberty.",LABEL_0,0.767783522605896,"[('Imee Marcos', 'PERSON'), ('Pastor Quiboloy', 'PERSON'), ('Frans', 'NORP'), ('Castro', 'PERSON'), ('Satur Ocampo Laya', 'PERSON'), ('Liberty', 'GPE')]",6,14
90,"no vote imee marcos in the senate in 2025 
",1,Imee Marcos,A,"Imee Marcos: no vote imee marcos in the senate in 2025 
",LABEL_0,0.6507845520973206,"[('Imee Marcos', 'PERSON'), ('imee marcos', 'PERSON'), ('senate', 'ORG'), ('2025', 'DATE')]",4,5
91,Don't vote c epee ambitious,0,Imee Marcos,A,Imee Marcos: Don't vote c epee ambitious,LABEL_0,0.7091543674468994,"[('Imee Marcos', 'PERSON')]",1,5
92,Tama,0,Imee Marcos,A,Imee Marcos: Tama,LABEL_0,0.695238471031189,"[('Imee Marcos', 'PERSON')]",1,5
93,True,0,Imee Marcos,A,Imee Marcos: True,LABEL_0,0.7124504446983337,"[('Imee Marcos', 'PERSON')]",1,5
94,PEOPLE POWER is already ‼️Wasting Time in 2028 and the Treasury is dry because the President is Deaf and Blind now‼️no Action has been taken. ,0,Imee Marcos,A,Imee Marcos: PEOPLE POWER is already ‼️Wasting Time in 2028 and the Treasury is dry because the President is Deaf and Blind now‼️no Action has been taken. ,LABEL_0,0.7324402928352356,"[('Imee Marcos', 'PERSON'), ('‼️Wasting Time', 'PERSON'), ('2028', 'DATE'), ('Treasury', 'ORG'), ('Deaf', 'GPE'), ('Blind now‼️no Action', 'ORG')]",6,19
95,Correct Maharlika Vore fir tr furerted snd their senatrisl dlstes plus ssbsyznan,0,Imee Marcos,A,Imee Marcos: Correct Maharlika Vore fir tr furerted snd their senatrisl dlstes plus ssbsyznan,LABEL_0,0.5682858228683472,"[('Imee Marcos', 'PERSON')]",1,19
96,No vote to Digongyo's' devils. ,0,Imee Marcos,A,Imee Marcos: No vote to Digongyo's' devils. ,LABEL_0,0.7057316899299622,"[('Imee Marcos', 'PERSON'), ('Digongyo', 'ORG')]",2,5
97,NEVER AGAIN FALLING ON THE MONEY-EAGLES OF DAVAO.,0,Imee Marcos,A,Imee Marcos: NEVER AGAIN FALLING ON THE MONEY-EAGLES OF DAVAO.,LABEL_0,0.6180949807167053,"[('Imee Marcos', 'PERSON')]",1,5
140,You are wrong llamas,0,Imee Marcos,A,Imee Marcos: You are wrong llamas,LABEL_0,0.6917824149131775,"[('Imee Marcos', 'PERSON')]",1,5
98,"CERMAO, FIOUS TAMBALISTIT IS ORIGINAL AND LEGIT, AYAW EXPLAIN EXPLAINED TO CONFIS.",0,Imee Marcos,A,"Imee Marcos: CERMAO, FIOUS TAMBALISTIT IS ORIGINAL AND LEGIT, AYAW EXPLAIN EXPLAINED TO CONFIS.",LABEL_0,0.6673166751861572,"[('Imee Marcos', 'PERSON'), ('LEGIT', 'PERSON'), ('AYAW EXPLAIN', 'PERSON'), ('EXPLAINED', 'ORG'), ('CONFIS', 'GPE')]",5,19
99,Ksya ko voted c sara kc kateam cia ni bbm.,0,Imee Marcos,A,Imee Marcos: Ksya ko voted c sara kc kateam cia ni bbm.,LABEL_0,0.6816705465316772,"[('Imee Marcos', 'PERSON'), ('cia', 'ORG')]",2,20
100,CI is hoping for all Pres. ,0,Imee Marcos,A,Imee Marcos: CI is hoping for all Pres. ,LABEL_0,0.6658805012702942,"[('Imee Marcos', 'PERSON'), ('CI', 'PERSON')]",2,5
101,WWALANA BELIEVED IN DRA RAW C BADUDAY IS CRAZY,0,Imee Marcos,A,Imee Marcos: WWALANA BELIEVED IN DRA RAW C BADUDAY IS CRAZY,LABEL_0,0.5670726895332336,"[('Imee Marcos', 'PERSON'), ('WWALANA BELIEVED', 'PERSON'), ('DRA RAW C', 'ORG')]",3,20
102,Best Actress Ka Imee ....,0,Imee Marcos,A,Imee Marcos: Best Actress Ka Imee ....,LABEL_0,0.7375307679176331,"[('Imee Marcos', 'PERSON')]",1,5
